region,location,cfe,grid_carbon_intensity,net_operational_ghg_emissions,year
africa-south1,Johannesburg,0.16,646,0,2023
asia-east1,Taiwan,0.19,541,0,2019
asia-east1,Taiwan,0.18,540,0,2020
asia-east1,Taiwan,0.17,456,0,2021
asia-east1,Taiwan,0.18,453,0,2022
asia-east1,Taiwan,0.18,451,0,2023
asia-east2,Hong Kong,,506,0,2019
asia-east2,Hong Kong,,453,0,2020
asia-east2,Hong Kong,0.28,360,0,2021
asia-east2,Hong Kong,0.28,360,0,2022
asia-east2,Hong Kong,0.28,360,0,2023
asia-northeast1,Tokyo,,569,0,2019
asia-northeast1,Tokyo,0.12,554,0,2020
asia-northeast1,Tokyo,0.16,464,0,2021
asia-northeast1,Tokyo,0.16,463,0,2022
asia-northeast1,Tokyo,0.16,459,0,2023
asia-northeast2,Osaka,,414,0,2019
asia-northeast2,Osaka,,442,0,2020
asia-northeast2,Osaka,0.31,384,0,2021
asia-northeast2,Osaka,0.32,383,0,2022
asia-northeast2,Osaka,0.30,385,0,2023
asia-northeast3,Seoul,,490,0,2019
asia-northeast3,Seoul,0.31,457,0,2020
asia-northeast3,Seoul,0.31,425,0,2021
asia-northeast3,Seoul,0.31,425,0,2022
asia-northeast3,Seoul,0.35,378,0,2023
asia-south1,Mumbai,,752,0,2019
asia-south1,Mumbai,0.12,721,0,2020
asia-south1,Mumbai,0.23,633,0,2021
asia-south1,Mumbai,0.24,555,0,2022
asia-south1,Mumbai,0.14,648,0,2023
asia-south2,Delhi,,657,0,2020
asia-south2,Delhi,0.23,633,0,2021
asia-south2,Delhi,0.23,632,0,2022
asia-south2,Delhi,0.29,529,0,2023
asia-southeast1,Singapore,0.03,493,0,2019
asia-southeast1,Singapore,0.04,493,0,2020
asia-southeast1,Singapore,0.04,372,0,2021
asia-southeast1,Singapore,0.04,372,0,2022
asia-southeast1,Singapore,0.04,369,0,2023
asia-southeast2,Jakarta,,647,0,2019
asia-southeast2,Jakarta,,647,0,2020
asia-southeast2,Jakarta,0.13,580,0,2021
asia-southeast2,Jakarta,0.13,580,0,2022
asia-southeast2,Jakarta,0.13,580,0,2023
australia-southeast1,Sydney,0.11,725,0,2019
australia-southeast1,Sydney,0.11,727,0,2020
australia-southeast1,Sydney,0.11,723,0,2021
australia-southeast1,Sydney,0.27,538,0,2022
australia-southeast1,Sydney,0.33,501,0,2023
australia-southeast2,Melbourne,,691,0,2020
australia-southeast2,Melbourne,0.11,746,0,2021
australia-southeast2,Melbourne,0.34,490,0,2022
australia-southeast2,Melbourne,0.40,456,0,2023
europe-central2,Warsaw,,622,0,2020
europe-central2,Warsaw,0.2,576,0,2021
europe-central2,Warsaw,0.24,738,0,2022
europe-central2,Warsaw,0.31,723,0,2023
europe-north1,Finland,0.77,181,0,2019
europe-north1,Finland,0.94,133,0,2020
europe-north1,Finland,0.91,127,0,2021
europe-north1,Finland,0.97,112,0,2022
europe-north1,Finland,0.98,46,0,2023
europe-southwest1,Madrid,,121,0,2021
europe-southwest1,Madrid,0.67,160,0,2022
europe-southwest1,Madrid,0.76,131,0,2023
europe-west1,Belgium,0.68,196,0,2019
europe-west1,Belgium,0.79,212,0,2020
europe-west1,Belgium,0.82,110,0,2021
europe-west1,Belgium,0.80,123,0,2022
europe-west1,Belgium,0.82,122,0,2023
europe-west2,London,0.54,257,0,2019
europe-west2,London,0.59,231,0,2020
europe-west2,London,0.57,172,0,2021
europe-west2,London,0.85,166,0,2022
europe-west2,London,0.92,136,0,2023
europe-west3,Frankfurt,0.61,319,0,2019
europe-west3,Frankfurt,0.63,293,0,2020
europe-west3,Frankfurt,0.6,269,0,2021
europe-west3,Frankfurt,0.96,413,0,2022
europe-west3,Frankfurt,0.90,345,0,2023
europe-west4,Netherlands,0.61,474,0,2019
europe-west4,Netherlands,0.6,410,0,2020
europe-west4,Netherlands,0.53,283,0,2021
europe-west4,Netherlands,0.57,317,0,2022
europe-west4,Netherlands,0.80,236,0,2023
europe-west6,Zurich,,87,0,2019
europe-west6,Zurich,,87,0,2020
europe-west6,Zurich,0.85,86,0,2021
europe-west6,Zurich,0.85,118,0,2022
europe-west6,Zurich,0.92,59,0,2023
europe-west8,Milan,,298,0,2021
europe-west8,Milan,0.42,323,0,2022
europe-west8,Milan,0.52,249,0,2023
europe-west9,Paris,,59,0,2021
europe-west9,Paris,0.87,71,0,2022
europe-west9,Paris,0.94,34,0,2023
europe-west10,Berlin,0.90,345,0,2023
europe-west12,Turin,0.42,323,0,2022
europe-west12,Turin,0.52,249,0,2023
me-central1,Doha,0.00,575,0,2023
me-central2,Dammam,0.00,569,0,2023
me-west1,Tel Aviv,0.02,0,476,2022
me-west1,Tel Aviv,0.05,463,0,2023
northamerica-northeast1,Montreal,,27,0,2019
northamerica-northeast1,Montréal,,27,0,2020
northamerica-northeast1,Montréal,0.95,142,0,2021
northamerica-northeast1,Montréal,1.00,0,0,2022
northamerica-northeast1,Montréal,1.00,0,0,2023
northamerica-northeast2,Toronto,0.86,142,0,2021
northamerica-northeast2,Toronto,0.90,36,0,2022
northamerica-northeast2,Toronto,0.87,47,0,2023
southamerica-east1,Sao Paulo,0.87,109,0,2019
southamerica-east1,São Paulo,0.88,103,0,2020
southamerica-east1,São Paulo,0.78,129,0,2021
southamerica-east1,São Paulo,0.89,65,0,2022
southamerica-east1,São Paulo,0.90,56,0,2023
southamerica-west1,Santiago,0.69,190,0,2021
southamerica-west1,Santiago,0.90,165,0,2022
southamerica-west1,Santiago,0.91,138,0,2023
us-central1,Iowa,0.78,479,0,2019
us-central1,Iowa,0.93,454,0,2020
us-central1,Iowa,0.97,394,0,2021
us-central1,Iowa,0.92,445,0,2022
us-central1,Iowa,0.95,430,0,2023
us-east1,South Carolina,0.19,500,0,2019
us-east1,South Carolina,0.27,480,0,2020
us-east1,South Carolina,0.25,434,0,2021
us-east1,South Carolina,0.26,532,0,2022
us-east1,South Carolina,0.29,560,0,2023
us-east4,Northern Virginia,0.41,383,0,2019
us-east4,Northern Virginia,0.58,361,0,2020
us-east4,Northern Virginia,0.64,309,0,2021
us-east4,Northern Virginia,0.60,354,0,2022
us-east4,Northern Virginia,0.52,322,0,2023
us-east5,Columbus,0.64,309,0,2021
us-east5,Columbus,0.60,354,0,2022
us-east5,Columbus,0.52,322,0,2023
us-south1,Dallas,0.40,296,0,2021
us-south1,Dallas,0.41,342,0,2022
us-south1,Dallas,0.79,321,0,2023
us-west1,Oregon,0.89,117,0,2019
us-west1,Oregon,0.9,78,0,2020
us-west1,Oregon,0.88,60,0,2021
us-west1,Oregon,0.89,67,0,2022
us-west1,Oregon,0.84,94,0,2023
us-west2,Los Angeles,0.55,248,0,2019
us-west2,Los Angeles,0.54,253,0,2020
us-west2,Los Angeles,0.53,190,0,2021
us-west2,Los Angeles,0.56,202,0,2022
us-west2,Los Angeles,0.55,198,0,2023
us-west3,Salt Lake City,0.25,561,0,2019
us-west3,Salt Lake City,0.28,533,0,2020
us-west3,Salt Lake City,0.31,448,0,2021
